timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,1C:3A:60:02:B2:**,30:87:D9:B1:82:**,30:87:D9:B1:61:**,30:87:D9:B1:9B:**,30:87:D9:71:9B:**,00:24:6C:2D:17:**,08:36:C9:8E:F4:**,30:87:D9:71:61:**,30:87:D9:F1:61:**,30:87:D9:B1:51:**,00:24:6C:26:89:**,30:87:D9:B1:7E:**,30:87:D9:71:51:**,30:87:D9:F1:5C:**,30:87:D9:B1:55:**,30:87:D9:31:5A:**,30:87:D9:31:61:**,E8:48:B8:ED:47:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,E4:F0:42:E0:FB:**,0C:51:01:E3:94:**,EC:AD:E0:AE:D5:**,86:2A:FD:F0:89:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:F1:7C:**,30:87:D9:71:82:**,30:87:D9:B1:53:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:F1:53:**,30:87:D9:71:D7:**,30:87:D9:B1:FC:**,30:87:D9:31:9A:**,30:87:D9:31:D7:**,30:87:D9:71:5C:**,30:87:D9:31:96:**,30:87:D9:71:96:**,1C:3B:F3:DC:E3:**,30:87:D9:F2:06:**,30:87:D9:71:52:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:71:5E:**,30:87:D9:F1:59:**,C0:A0:BB:CF:65:**,30:87:D9:B1:97:**,30:87:D9:F1:5E:**,30:87:D9:F1:95:**,30:87:D9:73:01:**,30:87:D9:B1:58:**,30:87:D9:F1:5A:**,30:87:D9:F1:99:**,34:0A:33:03:77:**,30:87:D9:B1:6B:**,30:87:D9:31:6B:**,00:24:6C:26:87:**,30:87:D9:B1:72:**,30:87:D9:F1:97:**,30:87:D9:71:58:**,30:87:D9:71:77:**,56:13:79:27:1E:**,30:87:D9:F1:5B:**,D6:6A:6A:47:44:**,30:87:D9:31:54:**,FA:DA:0C:48:FB:**,30:87:D9:31:53:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:F2:1E:**,30:87:D9:B1:5B:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:31:58:**,30:87:D9:B1:54:**,30:87:D9:B1:89:**,30:87:D9:F1:58:**,30:87:D9:B1:52:**,30:87:D9:B2:06:**,30:87:D9:32:1E:**,30:87:D9:F1:82:**,30:87:D9:B3:01:**,30:87:D9:71:7D:**,30:87:D9:72:1E:**,30:87:D9:31:52:**,30:87:D9:F1:52:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:B1:5E:**,30:87:D9:F3:01:**,30:87:D9:F1:6B:**,30:87:D9:71:9A:**,30:87:D9:71:53:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,E8:37:7A:A5:3A:**,30:87:D9:31:72:**,30:87:D9:B1:77:**,30:87:D9:71:5A:**,C4:E9:0A:1D:37:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:B1:63:**,30:87:D9:71:95:**,78:32:1B:CC:37:**,30:87:D9:72:38:**,30:87:D9:F1:72:**,1C:3B:F3:AB:99:**,30:87:D9:71:99:**,30:87:D9:31:77:**,30:87:D9:72:06:**,30:87:D9:31:51:**,30:87:D9:31:9B:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,30:87:D9:33:01:**,30:87:D9:31:97:**,34:97:F6:6B:EB:**,38:D5:47:1E:6C:**,30:87:D9:71:7E:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:71:6B:**,30:87:D9:B1:9A:**,30:87:D9:31:5E:**,30:87:D9:B1:59:**,30:87:D9:B2:1E:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,30:87:D9:B1:5A:**,30:87:D9:B1:7D:**,30:87:D9:32:38:**
1665322038.178369,-64,-62,-100,-60,-73,-100,-100,-100,-78,-71,-71,-100,-100,-100,-100,-77,-100,-80,-69,-100,-73,-53,-100,-100,-100,-100,-100,-100,-100,-100,-75,-76,-64,-100,-66,-100,-83,-78,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-50,-76,-75,-100,-100,-100,-100,-59,-100,-50,-100,-100,-100,-100,-62,-100,-100,-100,-100,-66,-100,-100,-51,-64,-100,-55,-60,-78,-58,-100,-100,-100,-66,-100,-100,-100,-100,-100,-70,-100,-68,-62,-58,-79,-69,-70,-100,-100,-100,-100,-57,-100,-61,-100,-100,-60,-100,-100,-58,-100,-100,-62,-100,-100,-100,-64,-61,-100,-74,-100,-100,-100,-100,-100,-77,-51,-72,-61,-100,-100,-79,-100,-100,-100,-100,-74,-100,-100,-56,-100,-69,-100,-100,-53,-57,-100,-100,-65
1665322039.178572,-72,-69,-100,-70,-69,-100,-100,-100,-78,-71,-68,-100,-100,-100,-100,-100,-100,-80,-69,-100,-74,-52,-100,-100,-100,-100,-100,-100,-100,-100,-75,-70,-74,-100,-70,-100,-83,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-55,-100,-67,-100,-100,-100,-100,-65,-100,-55,-100,-100,-100,-100,-76,-100,-100,-100,-100,-65,-100,-100,-52,-77,-100,-50,-69,-77,-51,-100,-100,-100,-70,-100,-100,-100,-100,-100,-74,-100,-68,-66,-74,-68,-72,-77,-100,-100,-100,-100,-59,-100,-69,-100,-100,-65,-100,-100,-58,-100,-100,-64,-100,-100,-100,-68,-65,-100,-68,-100,-100,-100,-100,-100,-76,-52,-66,-68,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-59,-100,-70,-100,-100,-52,-59,-100,-100,-68
1665322040.178759,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-77,-68,-100,-75,-100,-67,-100,-100,-100,-70,-100,-78,-65,-100,-100,-100,-59,-77,-59,-76,-79,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-71,-80,-100,-64,-100,-64,-100,-65,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-79,-65,-100,-100,-73,-65,-100,-100,-100,-45,-100,-72,-100,-100,-59,-100,-100,-100,-73,-65,-100,-100,-100,-100,-100,-72,-45,-45,-100,-66,-100,-100,-56,-78,-100,-100,-100,-100,-100,-67,-100,-100,-78,-100,-100,-100,-74,-71,-100,-81,-68,-100,-100,-100,-100,-100,-45,-70,-68,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-56,-64,-100,-100,-100,-71,-57,-66,-100,-72
1665322041.178410,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-68,-100,-80,-100,-64,-100,-100,-100,-75,-100,-67,-75,-100,-78,-100,-53,-76,-63,-81,-78,-100,-79,-100,-100,-61,-100,-100,-100,-100,-100,-100,-70,-76,-100,-60,-100,-76,-100,-59,-100,-78,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-76,-68,-100,-100,-65,-65,-100,-100,-100,-36,-100,-67,-100,-100,-62,-100,-100,-100,-68,-62,-100,-100,-100,-100,-100,-72,-36,-37,-100,-59,-100,-100,-61,-81,-100,-100,-100,-100,-100,-74,-100,-100,-81,-100,-100,-100,-74,-65,-100,-79,-72,-100,-100,-100,-100,-100,-36,-65,-72,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-61,-60,-100,-100,-100,-66,-61,-76,-100,-69
1665322042.178537,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-66,-100,-80,-100,-64,-100,-100,-100,-67,-100,-67,-72,-100,-75,-100,-51,-76,-55,-81,-68,-100,-79,-100,-100,-51,-100,-100,-100,-100,-100,-100,-65,-76,-100,-59,-100,-70,-100,-59,-100,-78,-100,-73,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-76,-68,-100,-100,-66,-69,-100,-100,-100,-36,-100,-64,-100,-100,-54,-100,-100,-100,-63,-63,-100,-100,-100,-100,-100,-72,-37,-37,-100,-59,-100,-100,-51,-81,-100,-100,-100,-100,-100,-65,-100,-100,-81,-100,-100,-100,-68,-65,-100,-79,-69,-100,-100,-100,-100,-100,-37,-68,-70,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-52,-60,-100,-100,-100,-64,-51,-63,-100,-62
1665322043.178560,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-82,-100,-78,-100,-70,-100,-100,-81,-73,-100,-68,-69,-100,-85,-100,-56,-78,-55,-79,-66,-100,-80,-100,-100,-58,-100,-100,-100,-100,-100,-100,-62,-79,-100,-45,-100,-73,-100,-45,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-73,-73,-100,-100,-69,-73,-100,-100,-100,-37,-100,-62,-100,-100,-55,-100,-100,-100,-62,-61,-100,-100,-100,-100,-100,-82,-38,-37,-100,-47,-100,-100,-57,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-66,-74,-100,-100,-83,-100,-100,-100,-100,-100,-37,-72,-81,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-57,-45,-100,-100,-100,-74,-56,-81,-100,-76
1665322044.178860,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-71,-82,-100,-78,-100,-73,-100,-100,-81,-71,-100,-70,-64,-100,-80,-100,-55,-78,-55,-79,-73,-100,-80,-100,-100,-59,-100,-100,-100,-100,-100,-100,-66,-79,-100,-56,-100,-73,-100,-56,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-71,-73,-100,-100,-69,-71,-100,-100,-100,-32,-100,-66,-100,-100,-54,-100,-100,-100,-66,-67,-100,-100,-100,-100,-100,-82,-33,-33,-100,-56,-100,-100,-59,-80,-100,-100,-100,-100,-100,-80,-100,-100,-79,-100,-100,-100,-71,-73,-100,-100,-81,-100,-100,-100,-100,-100,-32,-75,-81,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-59,-56,-100,-100,-100,-74,-58,-81,-100,-72
1665322045.178904,-100,-100,-100,-68,-100,-100,-100,-83,-100,-100,-100,-100,-100,-76,-100,-100,-79,-72,-100,-75,-100,-63,-100,-79,-74,-79,-100,-79,-81,-100,-79,-100,-62,-100,-61,-100,-70,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-72,-80,-100,-67,-100,-67,-100,-63,-100,-100,-100,-65,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-77,-78,-100,-79,-64,-100,-75,-63,-64,-100,-100,-100,-56,-100,-73,-100,-100,-62,-100,-100,-100,-72,-73,-100,-79,-100,-100,-100,-72,-56,-54,-100,-66,-100,-100,-47,-78,-100,-80,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-78,-63,-100,-81,-74,-100,-100,-100,-100,-100,-54,-62,-74,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-48,-68,-100,-100,-79,-60,-47,-66,-100,-65
1665322046.178807,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-82,-100,-78,-100,-71,-100,-100,-81,-72,-100,-67,-68,-100,-85,-100,-68,-80,-68,-79,-71,-100,-80,-100,-100,-62,-100,-100,-100,-100,-100,-100,-67,-80,-100,-57,-100,-66,-100,-57,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-65,-74,-100,-100,-69,-72,-100,-100,-100,-32,-100,-61,-100,-100,-68,-100,-100,-100,-69,-67,-100,-100,-100,-100,-100,-82,-32,-31,-100,-57,-100,-100,-61,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-72,-74,-100,-100,-83,-100,-100,-100,-100,-100,-31,-73,-81,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-62,-56,-100,-100,-100,-73,-60,-81,-100,-73
1665322047.178253,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-78,-65,-100,-80,-100,-66,-100,-100,-100,-76,-100,-67,-72,-100,-76,-100,-64,-100,-70,-81,-69,-100,-79,-100,-100,-49,-100,-100,-100,-100,-100,-100,-67,-100,-100,-62,-100,-64,-100,-62,-100,-76,-100,-73,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-79,-63,-100,-100,-67,-63,-100,-100,-100,-45,-100,-68,-100,-100,-70,-100,-100,-100,-69,-66,-100,-100,-100,-100,-100,-72,-45,-45,-100,-61,-78,-100,-49,-81,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-82,-63,-100,-79,-70,-100,-100,-100,-100,-100,-45,-67,-71,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-62,-100,-100,-100,-68,-48,-67,-100,-63
