timestamp,x,z,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467750,-0.5671568,18.858223,-55,-100,-100,-81,-100,-78,-80,-100,-80,-100,-100,-78,-70,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-73,-100,-100,-74,-80,-100,-77,-69,-100,-100,-100,-100,-100,-74,-100,-100,-100,-76,-77,-73,-80,-100,-70,-100,-100,-100,-100,-76,-77,-73,-100,-100,-55,-71,-100,-73,-100,-55,-79,-78,-100,-100,-45,-75,-79,-100,-78,-100,-100,-55,-100,-77,-100,-71,-75,-100,-100,-100,-100
1662467751,-0.4772916,19.064043,-50,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-76,-77,-100,-78,-70,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-78,-77,-100,-70,-100,-100,-100,-100,-79,-77,-77,-100,-100,-51,-81,-100,-76,-100,-49,-100,-78,-100,-100,-45,-76,-77,-100,-78,-100,-100,-50,-100,-100,-100,-71,-100,-100,-100,-100,-100
1662467752,-0.4110308,19.3194466,-56,-100,-100,-79,-100,-100,-80,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-77,-80,-100,-72,-64,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-77,-76,-80,-100,-63,-100,-100,-100,-100,-79,-77,-78,-100,-100,-55,-100,-100,-75,-100,-54,-100,-79,-100,-100,-45,-75,-100,-100,-78,-100,-100,-55,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467753,-0.3245096,19.5489788,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-69,-100,-100,-69,-69,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-78,-80,-100,-100,-67,-100,-100,-100,-100,-78,-79,-68,-100,-100,-54,-100,-100,-79,-100,-54,-100,-100,-100,-100,-45,-77,-100,-100,-79,-100,-100,-54,-100,-100,-100,-66,-100,-100,-100,-100,-100
1662467754,-0.1579685,19.7294235,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-78,-100,-100,-69,-65,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-78,-80,-100,-100,-66,-100,-100,-100,-100,-77,-79,-68,-100,-100,-55,-100,-100,-79,-100,-57,-100,-100,-100,-100,-45,-77,-100,-100,-79,-100,-100,-55,-100,-100,-100,-66,-100,-100,-100,-100,-100
1662467755,0.0115128,19.812397,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-69,-100,-100,-68,-68,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-78,-78,-100,-100,-69,-100,-100,-100,-100,-77,-78,-79,-100,-100,-54,-100,-100,-79,-100,-55,-100,-100,-100,-100,-45,-77,-100,-100,-77,-100,-100,-55,-100,-100,-100,-68,-100,-100,-100,-100,-100
1662467756,0.118103,20.0181293,-67,-100,-100,-78,-100,-100,-77,-100,-77,-100,-63,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-61,-100,-100,-63,-75,-100,-100,-100,-100,-67,-62,-70,-100,-67,-100,-76,-66,-69,-100,-78,-100,-100,-100,-100,-76,-73,-64,-100,-100,-66,-100,-100,-64,-100,-57,-100,-77,-67,-100,-45,-66,-77,-100,-76,-100,-100,-66,-100,-78,-100,-77,-100,-100,-100,-77,-66
1662467757,0.2961121,20.152729,-56,-100,-100,-79,-100,-100,-80,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-74,-80,-100,-77,-63,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-80,-75,-80,-100,-63,-100,-100,-100,-100,-79,-78,-73,-100,-100,-55,-100,-100,-77,-100,-56,-100,-79,-100,-100,-45,-75,-100,-100,-78,-100,-100,-55,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467758,0.4115696,20.2454586,-48,-100,-100,-100,-47,-100,-100,-100,-100,-100,-74,-100,-61,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-63,-100,-100,-100,-79,-100,-47,-79,-61,-100,-85,-100,-80,-100,-77,-100,-100,-100,-100,-72,-80,-100,-100,-67,-86,-100,-61,-100,-73,-73,-79,-100,-81,-56,-100,-61,-100,-52,-49,-100,-100,-100,-100,-55,-100,-100,-100,-73,-100,-48,-49,-100,-100,-52,-67,-100,-71,-100,-100,-100
1662467759,0.5210819,20.2973442,-57,-100,-100,-78,-100,-100,-77,-100,-100,-100,-100,-77,-63,-72,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-72,-74,-100,-73,-64,-78,-100,-100,-100,-100,-76,-100,-100,-100,-72,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-74,-100,-100,-57,-69,-100,-77,-100,-56,-76,-100,-100,-100,-45,-79,-78,-100,-100,-100,-100,-56,-100,-78,-100,-78,-76,-100,-100,-74,-100
1662467760,0.6347237,20.3940353,-54,-100,-100,-80,-100,-78,-77,-100,-80,-100,-100,-78,-65,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-79,-100,-100,-73,-78,-100,-74,-66,-78,-100,-100,-100,-100,-73,-100,-100,-100,-76,-77,-75,-79,-100,-64,-100,-100,-100,-100,-100,-77,-74,-100,-100,-54,-71,-100,-74,-100,-55,-79,-78,-100,-100,-45,-75,-79,-100,-100,-100,-100,-53,-100,-77,-100,-63,-75,-100,-100,-100,-100
