timestamp,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467710.269941,-49,-100,-100,-100,-47,-100,-100,-100,-100,-100,-74,-100,-61,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-63,-100,-100,-100,-80,-100,-47,-79,-61,-100,-85,-100,-80,-100,-78,-100,-100,-100,-100,-74,-100,-100,-100,-67,-86,-100,-61,-100,-73,-74,-77,-100,-81,-56,-100,-61,-100,-52,-49,-100,-100,-100,-100,-55,-100,-100,-100,-73,-100,-48,-49,-100,-100,-52,-67,-100,-71,-100,-100,-100
1662467711.269676,-68,-72,-64,-100,-72,-80,-100,-78,-76,-74,-77,-100,-100,-100,-78,-79,-77,-75,-78,-70,-87,-100,-72,-100,-65,-39,-81,-67,-100,-100,-69,-100,-100,-79,-77,-87,-76,-68,-74,-100,-67,-100,-76,-63,-75,-72,-100,-57,-74,-64,-71,-76,-78,-67,-40,-57,-67,-100,-100,-69,-44,-66,-100,-80,-74,-57,-49,-69,-100,-51,-76,-100,-100,-66,-81,-100,-44,-100,-100,-52,-57,-77,-69
1662467712.270086,-54,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-77,-100,-100,-75,-59,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-77,-78,-81,-100,-63,-100,-100,-100,-100,-79,-77,-73,-100,-100,-54,-81,-100,-76,-100,-55,-100,-79,-100,-100,-45,-76,-100,-100,-78,-100,-100,-57,-100,-100,-100,-62,-100,-100,-100,-100,-100
1662467713.269562,-61,-100,-100,-79,-100,-100,-77,-100,-78,-100,-63,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-61,-100,-100,-62,-78,-100,-100,-100,-100,-70,-62,-78,-100,-76,-100,-76,-66,-78,-100,-76,-100,-100,-100,-100,-77,-74,-61,-100,-100,-62,-100,-100,-67,-100,-61,-100,-78,-67,-100,-45,-69,-79,-100,-76,-100,-100,-60,-100,-77,-100,-76,-100,-100,-100,-82,-68
1662467714.269602,-72,-100,-100,-79,-100,-79,-78,-100,-100,-100,-77,-100,-100,-100,-100,-80,-100,-100,-74,-75,-100,-100,-100,-100,-59,-100,-100,-77,-100,-100,-77,-100,-77,-100,-100,-100,-67,-77,-82,-100,-64,-100,-75,-59,-100,-73,-100,-100,-100,-100,-100,-76,-75,-75,-100,-100,-73,-100,-100,-60,-100,-71,-100,-100,-66,-100,-40,-60,-81,-100,-77,-100,-100,-72,-70,-79,-100,-100,-100,-100,-100,-82,-66
1662467715.269404,-77,-79,-100,-79,-100,-100,-78,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-59,-100,-100,-68,-100,-100,-67,-100,-78,-100,-100,-100,-66,-73,-82,-100,-74,-100,-75,-59,-100,-78,-100,-100,-100,-100,-100,-78,-75,-67,-100,-100,-76,-100,-100,-59,-100,-70,-100,-100,-74,-100,-40,-59,-81,-100,-76,-100,-100,-76,-81,-79,-100,-100,-100,-100,-100,-81,-74
1662467716.269500,-60,-100,-100,-79,-100,-100,-77,-100,-78,-100,-69,-79,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-72,-100,-100,-64,-76,-100,-100,-100,-100,-76,-73,-78,-100,-77,-100,-76,-68,-78,-100,-77,-100,-100,-100,-100,-77,-74,-73,-100,-100,-59,-100,-100,-70,-100,-59,-100,-78,-76,-100,-45,-70,-77,-100,-76,-100,-100,-60,-100,-77,-100,-74,-100,-100,-100,-77,-77
1662467717.269970,-63,-68,-100,-100,-100,-80,-100,-100,-77,-100,-64,-100,-76,-100,-100,-79,-77,-100,-71,-70,-100,-100,-100,-100,-62,-100,-100,-64,-100,-100,-63,-77,-100,-100,-100,-100,-72,-63,-100,-100,-67,-100,-78,-62,-77,-72,-76,-100,-100,-100,-100,-78,-76,-63,-100,-100,-63,-100,-100,-63,-100,-64,-100,-77,-68,-100,-45,-62,-100,-100,-79,-100,-100,-64,-100,-100,-100,-76,-100,-100,-100,-68,-73
1662467718.269666,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-75,-62,-75,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-75,-100,-100,-70,-75,-100,-77,-66,-75,-100,-100,-100,-100,-71,-80,-79,-100,-77,-100,-76,-100,-100,-64,-100,-100,-100,-100,-100,-100,-71,-100,-100,-55,-75,-100,-79,-100,-55,-74,-100,-100,-100,-45,-72,-100,-79,-100,-78,-100,-56,-100,-100,-100,-65,-76,-78,-100,-76,-100
1662467719.269576,-55,-100,-100,-81,-100,-100,-80,-100,-80,-100,-100,-100,-63,-100,-80,-78,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-74,-80,-100,-77,-64,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-77,-75,-80,-100,-63,-100,-100,-100,-100,-76,-77,-73,-100,-100,-54,-100,-100,-79,-100,-54,-79,-79,-100,-100,-45,-75,-100,-100,-78,-100,-100,-54,-100,-100,-100,-65,-100,-100,-100,-100,-100
