timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:89:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:31:95:**,30:87:D9:B1:5B:**,30:87:D9:71:FC:**,30:87:D9:B1:5C:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:F1:59:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:B1:7D:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:5B:**,30:87:D9:71:55:**,30:87:D9:F1:7D:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,A8:5E:45:1B:B8:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:B1:9A:**,30:87:D9:B1:59:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**
1662476736.834624,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-69,-100,-100,-100,-100,-100,-67,-100,-100,-79,-100,-100,-79,-29,-100,-100,-100,-100,-100,-100,-100,-77,-67,-80,-100,-80,-100,-100,-100,-72,-100,-100,-100,-30,-77,-78,-78,-55,-69,-100,-76,-100,-54,-76,-100,-77,-37,-79,-77,-79,-81,-28,-54,-100,-100,-100,-100,-100,-79,-77,-81,-100,-76,-78
1662476737.834464,-100,-64,-100,-100,-100,-100,-80,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-67,-79,-100,-100,-65,-100,-100,-100,-46,-74,-74,-59,-53,-100,-100,-68,-100,-54,-100,-77,-60,-46,-68,-100,-73,-100,-46,-54,-100,-100,-100,-100,-100,-100,-59,-100,-100,-53,-59
1662476738.834597,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-48,-68,-69,-100,-64,-100,-100,-100,-100,-64,-100,-100,-100,-46,-100,-100,-68,-100,-48,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476739.834585,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-69,-100,-100,-100,-100,-100,-69,-100,-100,-79,-100,-100,-79,-34,-100,-100,-100,-100,-100,-100,-100,-77,-69,-78,-100,-80,-100,-100,-100,-72,-80,-100,-100,-33,-76,-79,-78,-53,-69,-100,-78,-100,-53,-76,-100,-78,-39,-79,-78,-78,-81,-34,-52,-100,-100,-100,-100,-100,-78,-77,-81,-81,-78,-77
1662476740.834295,-100,-70,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-82,-100,-100,-100,-52,-74,-74,-100,-69,-100,-100,-100,-100,-71,-100,-100,-100,-48,-100,-100,-75,-100,-52,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476741.834296,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-34,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-76,-100,-100,-100,-35,-76,-78,-81,-57,-76,-100,-100,-100,-56,-82,-100,-81,-40,-100,-100,-78,-100,-34,-58,-100,-100,-100,-100,-100,-81,-76,-100,-100,-100,-74
1662476742.835082,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-83,-100,-100,-100,-47,-80,-78,-100,-70,-100,-100,-100,-100,-69,-100,-100,-100,-46,-100,-100,-81,-100,-48,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476743.835059,-100,-64,-100,-100,-100,-100,-80,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-81,-100,-78,-100,-100,-100,-100,-65,-100,-100,-100,-44,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-65,-78,-100,-100,-68,-100,-100,-100,-44,-74,-76,-72,-64,-100,-100,-65,-100,-64,-100,-78,-71,-44,-65,-100,-75,-100,-44,-64,-100,-100,-100,-100,-100,-100,-70,-100,-100,-53,-72
1662476744.834625,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-100,-100,-100,-47,-80,-81,-100,-70,-100,-100,-100,-100,-71,-100,-100,-100,-45,-100,-100,-81,-100,-48,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476745.834946,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-81,-100,-100,-100,-44,-69,-68,-100,-65,-100,-100,-100,-100,-65,-100,-100,-100,-45,-100,-100,-68,-100,-45,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476746.834971,-100,-63,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-48,-69,-71,-100,-65,-100,-100,-100,-100,-63,-100,-100,-100,-46,-100,-100,-70,-100,-49,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476747.834568,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-68,-100,-100,-100,-100,-100,-69,-100,-100,-78,-100,-100,-76,-34,-100,-100,-100,-100,-100,-100,-100,-78,-68,-79,-100,-79,-100,-100,-100,-72,-82,-100,-100,-35,-77,-79,-78,-53,-69,-100,-78,-100,-54,-100,-100,-78,-39,-77,-80,-77,-80,-33,-53,-100,-100,-100,-100,-100,-76,-77,-100,-100,-77,-77
1662476748.835150,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-69,-100,-100,-100,-100,-100,-69,-100,-100,-77,-100,-100,-79,-34,-100,-100,-100,-100,-100,-100,-100,-77,-67,-80,-100,-78,-100,-100,-100,-72,-80,-100,-100,-33,-77,-78,-78,-53,-68,-100,-78,-100,-53,-77,-100,-76,-39,-77,-78,-79,-81,-33,-53,-100,-100,-100,-100,-100,-78,-76,-81,-81,-78,-76
1662476749.834873,-100,-57,-100,-100,-100,-100,-100,-78,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-71,-78,-100,-100,-100,-100,-63,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-75,-100,-100,-70,-100,-66,-76,-100,-100,-53,-100,-100,-100,-46,-75,-69,-64,-58,-100,-100,-65,-100,-57,-100,-79,-63,-46,-65,-100,-69,-100,-46,-58,-100,-100,-100,-100,-100,-100,-65,-100,-100,-53,-65
1662476750.834929,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-73,-100,-100,-100,-100,-100,-76,-100,-100,-76,-100,-82,-100,-42,-100,-100,-100,-81,-100,-100,-80,-73,-75,-75,-100,-73,-81,-100,-100,-72,-81,-100,-100,-42,-75,-76,-74,-64,-74,-100,-69,-100,-65,-100,-76,-74,-42,-69,-72,-75,-74,-43,-65,-100,-100,-100,-100,-100,-100,-73,-100,-100,-62,-75
1662476751.835040,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-76,-100,-100,-100,-100,-100,-75,-100,-100,-79,-100,-100,-100,-34,-100,-100,-100,-100,-100,-100,-80,-80,-76,-76,-100,-79,-100,-100,-100,-74,-100,-100,-100,-34,-76,-77,-78,-62,-76,-100,-78,-100,-60,-100,-100,-78,-40,-79,-100,-78,-81,-34,-62,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-78
1662476752.835678,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-69,-100,-100,-100,-100,-100,-69,-100,-100,-78,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-79,-75,-68,-100,-100,-77,-100,-100,-100,-73,-100,-100,-100,-37,-100,-100,-70,-64,-72,-100,-81,-100,-62,-100,-78,-72,-39,-79,-75,-100,-75,-37,-64,-100,-100,-100,-100,-100,-100,-70,-100,-100,-71,-72
1662476753.834915,-100,-62,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-83,-100,-100,-100,-52,-70,-70,-100,-62,-100,-100,-100,-100,-62,-100,-100,-100,-48,-100,-100,-68,-100,-52,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476754.834248,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-35,-100,-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-35,-75,-74,-75,-62,-76,-100,-100,-100,-64,-82,-100,-77,-40,-100,-100,-77,-100,-35,-63,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
1662476755.834448,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-50,-100,-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-49,-75,-74,-75,-62,-76,-100,-100,-100,-62,-82,-100,-77,-47,-100,-100,-77,-100,-50,-62,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
1662476756.834732,-100,-71,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-83,-100,-100,-100,-52,-74,-74,-100,-70,-100,-100,-100,-100,-71,-100,-100,-100,-48,-100,-100,-74,-100,-51,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476757.834529,-80,-54,-100,-89,-77,-60,-100,-77,-77,-83,-89,-77,-84,-78,-83,-68,-84,-100,-100,-100,-89,-70,-80,-84,-78,-88,-79,-78,-29,-73,-75,-84,-100,-88,-73,-79,-78,-69,-80,-76,-78,-81,-100,-73,-76,-80,-100,-60,-37,-77,-78,-74,-59,-69,-59,-79,-48,-61,-78,-78,-77,-50,-77,-77,-79,-79,-37,-61,-100,-78,-43,-74,-84,-77,-77,-100,-81,-76,-78
1662476758.834468,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-75,-76,-100,-65,-100,-100,-100,-100,-66,-100,-100,-100,-48,-100,-100,-76,-100,-52,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476759.835224,-100,-52,-100,-100,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-47,-100,-100,-100,-100,-100,-100,-79,-100,-100,-75,-100,-68,-82,-100,-100,-64,-100,-100,-100,-47,-78,-74,-61,-51,-100,-100,-66,-100,-52,-100,-79,-61,-46,-65,-100,-74,-100,-46,-52,-100,-100,-100,-100,-100,-100,-60,-100,-100,-53,-60
1662476760.834762,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-69,-100,-100,-100,-100,-100,-69,-100,-100,-77,-100,-100,-79,-34,-100,-100,-100,-100,-100,-100,-100,-77,-69,-80,-100,-78,-100,-100,-100,-73,-80,-100,-100,-34,-77,-78,-79,-53,-69,-100,-78,-100,-53,-77,-100,-78,-39,-77,-78,-80,-81,-35,-52,-100,-100,-100,-100,-100,-78,-76,-81,-81,-78,-76
1662476761.834778,-80,-53,-100,-89,-77,-60,-100,-100,-77,-83,-89,-100,-84,-78,-83,-69,-84,-100,-100,-100,-89,-69,-80,-84,-78,-88,-79,-79,-35,-73,-75,-84,-100,-88,-73,-100,-78,-69,-80,-76,-79,-100,-100,-73,-77,-80,-100,-60,-39,-77,-78,-73,-58,-69,-59,-79,-48,-60,-78,-100,-77,-52,-77,-78,-79,-81,-39,-60,-100,-78,-43,-74,-84,-77,-78,-100,-81,-76,-77
1662476762.834338,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-43,-100,-100,-100,-100,-100,-100,-79,-100,-100,-74,-100,-66,-79,-100,-100,-69,-100,-100,-100,-43,-75,-74,-68,-64,-100,-100,-65,-100,-64,-100,-77,-69,-43,-65,-100,-73,-100,-43,-64,-100,-100,-100,-100,-100,-100,-61,-100,-100,-53,-68
1662476763.834508,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-78,-100,-100,-79,-100,-100,-100,-37,-100,-100,-100,-100,-100,-100,-100,-81,-80,-78,-100,-74,-100,-100,-100,-71,-100,-100,-100,-38,-79,-78,-76,-40,-79,-100,-76,-100,-40,-100,-100,-77,-41,-76,-80,-79,-80,-37,-40,-100,-100,-100,-100,-100,-100,-77,-100,-100,-81,-78
1662476764.834383,-100,-64,-100,-100,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-43,-100,-100,-100,-100,-100,-100,-79,-100,-100,-73,-100,-64,-82,-100,-100,-66,-100,-100,-100,-44,-73,-75,-62,-64,-100,-100,-65,-100,-65,-100,-75,-60,-43,-70,-100,-76,-100,-43,-64,-100,-100,-100,-100,-100,-100,-61,-100,-100,-53,-69
1662476765.834364,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-81,-71,-78,-100,-100,-100,-100,-67,-100,-100,-100,-39,-100,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-64,-76,-100,-100,-51,-100,-100,-100,-39,-78,-74,-58,-55,-100,-100,-64,-100,-55,-100,-77,-58,-39,-65,-100,-78,-100,-39,-53,-100,-100,-100,-100,-100,-100,-59,-100,-100,-53,-59
1662476766.834861,-100,-63,-71,-100,-100,-100,-100,-78,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-78,-80,-100,-100,-100,-100,-62,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-76,-100,-100,-75,-100,-61,-79,-71,-100,-58,-100,-100,-100,-51,-75,-75,-67,-65,-100,-100,-61,-100,-65,-100,-74,-65,-51,-61,-100,-75,-100,-50,-64,-78,-100,-100,-100,-100,-100,-66,-100,-100,-53,-67
1662476767.834970,-100,-64,-100,-100,-100,-100,-100,-78,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-100,-63,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-69,-100,-100,-70,-100,-63,-67,-100,-100,-53,-100,-100,-100,-46,-68,-67,-61,-54,-100,-100,-64,-100,-55,-100,-79,-61,-45,-63,-100,-69,-100,-46,-55,-78,-100,-100,-100,-100,-100,-61,-100,-100,-53,-61
1662476768.834561,-100,-68,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-83,-100,-100,-100,-53,-74,-75,-100,-69,-100,-100,-100,-100,-69,-100,-100,-100,-49,-100,-100,-74,-100,-53,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476769.834640,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-36,-100,-100,-100,-100,-100,-100,-100,-100,-76,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-35,-77,-77,-78,-62,-76,-100,-100,-100,-60,-82,-100,-77,-40,-100,-100,-78,-100,-35,-59,-100,-100,-100,-100,-100,-81,-77,-100,-100,-100,-79
1662476770.834863,-100,-51,-100,-100,-100,-100,-100,-78,-100,-100,-100,-78,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-45,-100,-100,-100,-100,-100,-100,-79,-100,-100,-77,-100,-69,-79,-100,-100,-65,-100,-82,-100,-45,-78,-75,-59,-53,-100,-100,-68,-100,-53,-100,-77,-58,-44,-68,-100,-75,-100,-44,-51,-100,-100,-100,-100,-100,-100,-58,-100,-100,-53,-70
1662476771.834684,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-43,-100,-100,-100,-100,-100,-100,-100,-100,-77,-70,-100,-100,-100,-100,-100,-80,-100,-100,-100,-43,-69,-68,-75,-65,-76,-100,-100,-100,-66,-100,-100,-77,-44,-100,-100,-68,-100,-44,-72,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-79
1662476772.835224,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-49,-100,-100,-100,-100,-100,-100,-100,-100,-77,-67,-100,-100,-100,-100,-100,-75,-100,-100,-100,-49,-68,-69,-75,-62,-76,-100,-100,-100,-62,-82,-100,-77,-46,-100,-100,-67,-100,-49,-63,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
1662476773.835105,-100,-64,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-83,-100,-100,-100,-49,-70,-69,-100,-65,-100,-100,-100,-100,-63,-100,-100,-100,-47,-100,-100,-69,-100,-49,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
