timestamp,x,z,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468610,-0.2130556,19.8467865,-74,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-73,-100,-100,-100,-100,-76,-100,-100,-100,-74,-100,-100,-100,-100,-100,-55,-74,-100,-100,-100,-100,-35,-77,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-56,-100
1662468611,-0.0728531,20.0010071,-75,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-76,-100,-100,-100,-100,-72,-100,-77,-100,-75,-73,-100,-100,-100,-74,-76,-78,-71,-100,-100,-56,-78,-100,-100,-100,-100,-35,-74,-100,-77,-100,-76,-100,-56,-100,-100,-100,-100,-100,-100,-56,-100
1662468612,0.1471901,20.1372795,-72,-54,-100,-100,-75,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-74,-77,-100,-77,-100,-100,-100,-100,-71,-100,-100,-100,-100,-72,-100,-77,-100,-75,-73,-100,-100,-100,-73,-76,-78,-71,-100,-100,-53,-78,-100,-76,-100,-100,-35,-76,-78,-77,-100,-76,-100,-53,-100,-77,-100,-100,-80,-100,-53,-100
1662468613,0.3141975,20.2340698,-100,-64,-70,-100,-77,-100,-100,-74,-100,-77,-100,-100,-77,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-67,-100,-100,-100,-75,-80,-100,-76,-79,-100,-100,-70,-100,-100,-100,-100,-76,-58,-75,-100,-78,-70,-69,-78,-71,-100,-100,-77,-72,-74,-100,-100,-61,-69,-100,-78,-76,-73,-100,-68,-74,-79,-75,-100,-100,-62,-78,-77,-100,-79,-100,-48,-63,-69
1662468614,0.5215321,20.2904949,-100,-73,-78,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-77,-77,-100,-100,-100,-100,-64,-100,-100,-100,-77,-100,-100,-76,-100,-100,-100,-73,-100,-100,-100,-100,-65,-74,-79,-100,-67,-76,-67,-81,-75,-100,-100,-76,-75,-78,-100,-100,-72,-64,-100,-100,-100,-67,-100,-66,-81,-100,-74,-100,-100,-74,-78,-78,-100,-100,-100,-48,-73,-69
1662468615,0.7073956,20.2944584,-62,-64,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-68,-100,-100,-100,-59,-79,-100,-58,-100,-100,-100,-100,-63,-100,-100,-100,-67,-72,-76,-100,-66,-77,-69,-78,-76,-100,-64,-100,-100,-71,-100,-100,-64,-68,-100,-100,-80,-69,-100,-69,-74,-78,-100,-100,-100,-62,-100,-75,-100,-78,-100,-48,-63,-68
1662468616,0.9467793,20.289362,-74,-52,-100,-100,-76,-100,-79,-77,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,-68,-75,-100,-66,-73,-100,-100,-100,-74,-80,-100,-100,-100,-67,-100,-100,-76,-100,-77,-100,-74,-100,-74,-100,-100,-66,-100,-100,-52,-75,-100,-76,-76,-77,-41,-78,-78,-76,-100,-100,-100,-53,-100,-78,-100,-77,-100,-100,-51,-78
1662468617,1.0548611,20.3302879,-100,-63,-70,-100,-77,-100,-100,-74,-100,-77,-100,-100,-77,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-64,-100,-100,-100,-59,-80,-100,-59,-100,-100,-100,-70,-100,-100,-100,-100,-68,-57,-77,-100,-76,-70,-65,-78,-76,-100,-100,-77,-72,-58,-100,-100,-64,-65,-100,-78,-76,-68,-100,-65,-78,-78,-75,-100,-100,-65,-78,-77,-100,-79,-100,-48,-64,-76
1662468618,1.0485687,20.3263779,-100,-72,-74,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-73,-74,-100,-100,-100,-100,-56,-100,-100,-100,-77,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-69,-74,-76,-100,-70,-74,-56,-78,-76,-100,-100,-76,-76,-75,-100,-100,-70,-56,-100,-100,-100,-70,-100,-57,-81,-100,-75,-100,-100,-71,-78,-100,-100,-100,-100,-48,-73,-71
1662468619,1.0662441,20.3347473,-73,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-74,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-35,-78,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-57,-100
