timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468579.175159,-75,-59,-100,-100,-75,-100,-100,-77,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-71,-100,-75,-100,-100,-100,-72,-100,-100,-72,-73,-100,-100,-100,-65,-100,-100,-100,-78,-72,-100,-78,-76,-100,-74,-100,-71,-100,-70,-100,-100,-72,-100,-100,-59,-75,-100,-100,-100,-77,-41,-75,-74,-100,-100,-76,-100,-58,-100,-73,-100,-100,-100,-75,-59,-78
1662468580.175076,-74,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-74,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-35,-77,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-55,-100
1662468581.174903,-100,-64,-70,-100,-77,-100,-100,-74,-100,-77,-100,-100,-77,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-68,-100,-100,-100,-73,-80,-100,-60,-79,-100,-100,-70,-100,-100,-100,-100,-68,-59,-75,-100,-76,-70,-65,-77,-75,-100,-100,-77,-72,-73,-100,-100,-64,-68,-100,-78,-76,-68,-100,-67,-74,-78,-75,-100,-100,-64,-78,-77,-100,-79,-100,-48,-64,-68
1662468582.175139,-65,-64,-100,-100,-78,-100,-100,-74,-100,-77,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-66,-100,-100,-100,-58,-79,-100,-58,-100,-100,-100,-100,-64,-100,-100,-100,-67,-58,-77,-100,-68,-77,-64,-75,-75,-100,-62,-77,-100,-58,-100,-100,-64,-65,-100,-78,-78,-67,-100,-67,-77,-78,-75,-100,-100,-63,-100,-75,-100,-78,-100,-48,-64,-67
1662468583.174911,-73,-53,-100,-100,-78,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-73,-100,-75,-100,-100,-100,-66,-100,-100,-67,-73,-100,-100,-100,-72,-80,-100,-100,-100,-66,-100,-78,-76,-100,-77,-100,-71,-100,-72,-100,-100,-68,-100,-100,-52,-75,-100,-100,-100,-77,-41,-78,-74,-79,-100,-76,-100,-53,-100,-77,-100,-100,-100,-75,-53,-78
1662468584.175037,-71,-58,-100,-100,-80,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-73,-100,-75,-100,-100,-100,-73,-100,-100,-67,-73,-100,-100,-100,-71,-80,-100,-100,-100,-73,-100,-78,-76,-100,-77,-100,-71,-100,-72,-100,-100,-76,-100,-100,-59,-75,-100,-100,-100,-77,-41,-78,-78,-79,-100,-76,-100,-57,-100,-77,-100,-100,-100,-75,-57,-78
1662468585.174998,-64,-65,-100,-100,-78,-100,-100,-74,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-61,-100,-100,-100,-58,-79,-100,-72,-100,-100,-100,-100,-65,-100,-100,-100,-67,-75,-76,-100,-66,-77,-61,-78,-75,-100,-66,-100,-100,-72,-100,-100,-67,-63,-100,-78,-80,-69,-100,-65,-74,-78,-100,-100,-100,-65,-100,-75,-100,-78,-100,-48,-66,-68
1662468586.175127,-75,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-67,-100,-100,-67,-78,-100,-100,-100,-68,-100,-100,-100,-100,-67,-100,-100,-100,-69,-76,-100,-100,-100,-75,-68,-67,-68,-100,-100,-54,-76,-100,-100,-100,-100,-35,-77,-100,-100,-67,-100,-100,-54,-100,-100,-100,-100,-100,-100,-54,-100
1662468587.174882,-71,-57,-100,-100,-76,-100,-79,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-75,-100,-100,-100,-77,-75,-100,-78,-100,-100,-100,-100,-73,-80,-100,-100,-100,-75,-100,-100,-76,-100,-77,-100,-100,-100,-73,-100,-100,-77,-100,-100,-59,-78,-100,-76,-76,-77,-41,-76,-78,-76,-100,-100,-100,-57,-100,-78,-100,-77,-80,-100,-59,-78
1662468588.175195,-100,-71,-74,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-77,-77,-100,-100,-100,-100,-69,-100,-100,-100,-72,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-77,-72,-76,-100,-67,-74,-70,-75,-75,-100,-100,-76,-76,-72,-100,-100,-71,-58,-100,-100,-100,-67,-100,-58,-81,-100,-75,-100,-100,-71,-78,-78,-100,-100,-100,-48,-71,-66
