00:24:6C:26:87:**,00:24:6C:26:89:**,00:24:6C:26:8B:**,00:24:6C:2D:17:**,00:24:6C:2D:1A:**,04:92:26:53:B7:**,08:36:C9:8E:F4:**,30:87:D9:31:54:**,30:87:D9:31:55:**,30:87:D9:31:59:**,30:87:D9:31:5B:**,30:87:D9:31:5C:**,30:87:D9:31:61:**,30:87:D9:31:72:**,30:87:D9:31:76:**,30:87:D9:31:77:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:7E:**,30:87:D9:31:7F:**,30:87:D9:31:81:**,30:87:D9:31:82:**,30:87:D9:31:89:**,30:87:D9:31:95:**,30:87:D9:31:97:**,30:87:D9:31:99:**,30:87:D9:31:9A:**,30:87:D9:31:F0:**,30:87:D9:31:FC:**,30:87:D9:32:06:**,30:87:D9:32:38:**,30:87:D9:71:54:**,30:87:D9:71:55:**,30:87:D9:71:58:**,30:87:D9:71:59:**,30:87:D9:71:5B:**,30:87:D9:71:5C:**,30:87:D9:71:61:**,30:87:D9:71:72:**,30:87:D9:71:76:**,30:87:D9:71:77:**,30:87:D9:71:7C:**,30:87:D9:71:7D:**,30:87:D9:71:7E:**,30:87:D9:71:7F:**,30:87:D9:71:81:**,30:87:D9:71:82:**,30:87:D9:71:89:**,30:87:D9:71:95:**,30:87:D9:71:97:**,30:87:D9:71:99:**,30:87:D9:71:9A:**,30:87:D9:71:F0:**,30:87:D9:71:FC:**,30:87:D9:72:06:**,30:87:D9:72:38:**,30:87:D9:B1:54:**,30:87:D9:B1:55:**,30:87:D9:B1:59:**,30:87:D9:B1:5B:**,30:87:D9:B1:5C:**,30:87:D9:B1:76:**,30:87:D9:B1:77:**,30:87:D9:B1:7C:**,30:87:D9:B1:7D:**,30:87:D9:B1:7E:**,30:87:D9:B1:7F:**,30:87:D9:B1:81:**,30:87:D9:B1:82:**,30:87:D9:B1:89:**,30:87:D9:B1:95:**,30:87:D9:B1:97:**,30:87:D9:B1:99:**,30:87:D9:B1:9A:**,30:87:D9:B1:F0:**,30:87:D9:B1:FC:**,30:87:D9:B2:06:**,30:87:D9:B2:38:**,30:87:D9:F1:54:**,30:87:D9:F1:55:**,30:87:D9:F1:59:**,30:87:D9:F1:5B:**,30:87:D9:F1:76:**,30:87:D9:F1:77:**,30:87:D9:F1:7C:**,30:87:D9:F1:7D:**,30:87:D9:F1:7E:**,30:87:D9:F1:7F:**,30:87:D9:F1:81:**,30:87:D9:F1:82:**,30:87:D9:F1:89:**,30:87:D9:F1:95:**,30:87:D9:F1:97:**,30:87:D9:F1:99:**,30:87:D9:F1:9A:**,30:87:D9:F1:F0:**,30:87:D9:F1:FC:**,30:87:D9:F2:06:**,30:87:D9:F2:38:**,34:97:F6:6B:EB:**,78:32:1B:CC:37:**,78:D2:94:7F:EB:**,A8:5E:45:1B:B8:**,B0:6E:BF:3B:A8:**,E4:F0:42:E0:FB:**,timestamp,x,z
-76,-100.0,-69.0,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56,-100.0,-100,-100.0,-100.0,-100,-80,-100,-78,-78,-66.0,-100.0,-100.0,-75.0,-78.0,-70,-78.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-57,-100.0,-100,-100.0,-100.0,-100,-77,-100,-74,-100,-66.0,-45,-100,-78,-100.0,-69,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-100.0,-100.0,-100.0,-100,-76,-100,-77,-80,-72.0,-100.0,-100.0,-75,-100.0,-69,-76.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-100.0,-100.0,-100.0,-100,-77,-100,-75,-100,-71.0,-100.0,-100.0,-74,-78.0,-70,-73.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467271,-0.3980522,20.0687752
-100,-100.0,-72.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100,-63.0,-79.0,-100,-100,-100,-78,-100,-78.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-55,-100.0,-100,-69.0,-79.0,-100,-100,-100,-80,-100,-78.0,-40,-100,-100,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-69.0,-80.0,-100,-100,-100,-79,-100,-78.0,-100.0,-100.0,-100,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-70.0,-78.0,-100,-100,-100,-77,-100,-78.0,-100.0,-100.0,-100,-100.0,-76,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467272,-0.2037315,20.2048168
-78,-100.0,-69.0,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100,-100.0,-100.0,-71,-100,-100,-100,-100,-65.0,-100.0,-100.0,-100.0,-100.0,-71,-81.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-58,-100.0,-100,-100.0,-100.0,-74,-100,-100,-100,-100,-65.0,-45,-100,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-76,-100,-100,-79,-100,-66.0,-100.0,-100.0,-100,-100.0,-73,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-77,-100,-100,-81,-100,-66.0,-100.0,-100.0,-100,-100.0,-71,-80.0,-100,-100.0,-100.0,-100.0,-78.0,-100.0,1662467273,0.0841808,20.2764091
-76,-100.0,-70.0,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-100,-100.0,-100.0,-78,-80,-100,-78,-78,-67.0,-100.0,-100.0,-75.0,-78.0,-66,-78.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-64,-100.0,-100,-100.0,-100.0,-78,-77,-100,-74,-100,-65.0,-45,-100,-78,-100.0,-71,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-100.0,-100.0,-100.0,-76,-76,-100,-77,-80,-72.0,-100.0,-100.0,-75,-100.0,-72,-79.0,-100.0,-100.0,-100.0,-100.0,-65,-100.0,-100.0,-100.0,-100.0,-77,-77,-100,-75,-100,-74.0,-100.0,-100.0,-74,-78.0,-72,-80.0,-100,-100.0,-100.0,-100.0,-80.0,-100.0,1662467274,0.3168449,20.2931557
-100,-100.0,-79.0,-100.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-45,-100.0,-100,-60.0,-100.0,-100,-100,-100,-64,-100,-80.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-46,-100.0,-100,-60.0,-100.0,-100,-100,-100,-65,-100,-79.0,-40,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46,-100.0,-100.0,-60.0,-100.0,-100,-100,-100,-76,-100,-79.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-46,-100.0,-100.0,-60.0,-100.0,-100,-100,-100,-74,-100,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467275,0.4585533,20.3317719
-100,-100.0,-73.0,-100.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58,-100.0,-100,-100.0,-100.0,-78,-77,-100,-80,-75,-72.0,-100.0,-100.0,-100.0,-77.0,-79,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-59,-100.0,-100,-100.0,-100.0,-81,-76,-100,-79,-76,-72.0,-45,-100,-100,-77.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59,-100.0,-100.0,-100.0,-100.0,-72,-76,-100,-79,-77,-71.0,-100.0,-100.0,-79,-75.0,-72,-100.0,-100.0,-100.0,-100.0,-100.0,-58,-100.0,-100.0,-100.0,-100.0,-80,-77,-100,-100,-77,-70.0,-100.0,-100.0,-100,-73.0,-72,-100.0,-100,-100.0,-100.0,-100.0,-76.0,-100.0,1662467276,0.6250343,20.3758965
-100,-100.0,-72.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55,-100.0,-100,-71.0,-76.0,-100,-100,-100,-78,-100,-74.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-56,-100.0,-100,-70.0,-80.0,-100,-100,-100,-80,-100,-77.0,-40,-100,-100,-80.0,-70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-73.0,-80.0,-100,-100,-100,-79,-100,-69.0,-100.0,-100.0,-100,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-56,-100.0,-100.0,-73.0,-78.0,-100,-100,-100,-77,-100,-76.0,-100.0,-100.0,-100,-100.0,-76,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467277,0.8104324,20.3833485
-79,-100.0,-75.0,-100.0,-61,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73,-100.0,-100,-100.0,-100.0,-100,-79,-76,-71,-100,-76.0,-100.0,-100.0,-100.0,-100.0,-69,-72.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-75,-100.0,-100,-100.0,-100.0,-100,-100,-77,-77,-100,-72.0,-45,-100,-100,-79.0,-67,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76,-100.0,-100.0,-100.0,-100.0,-100,-100,-77,-74,-100,-76.0,-100.0,-100.0,-100,-77.0,-67,-69.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100.0,-100,-100,-79,-75,-100,-76.0,-100.0,-100.0,-81,-100.0,-62,-71.0,-78,-100.0,-100.0,-100.0,-75.0,-100.0,1662467278,1.0180244,20.395525
-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49,-100.0,-100,-62.0,-80.0,-100,-100,-100,-64,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-49,-100.0,-100,-62.0,-82.0,-100,-100,-100,-64,-100,-100.0,-40,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49,-100.0,-100.0,-62.0,-100.0,-100,-100,-100,-65,-100,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100.0,-62.0,-83.0,-100,-100,-100,-74,-100,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467279,1.1063766,20.3776951
-100,-100.0,-78.0,-100.0,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47,-100.0,-100,-57.0,-100.0,-100,-100,-100,-74,-100,-80.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100,-100,-100,-47,-100.0,-100,-56.0,-100.0,-100,-100,-100,-76,-100,-79.0,-40,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100.0,-57.0,-100.0,-100,-100,-100,-76,-100,-79.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100.0,-56.0,-100.0,-100,-100,-100,-77,-100,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,1662467280,1.1186943,20.3741245
