timestamp,30:87:D9:B1:7E:**,30:87:D9:F1:7E:**,30:87:D9:F1:76:**,30:87:D9:F2:38:**,30:87:D9:B1:82:**,30:87:D9:31:97:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:81:**,30:87:D9:31:7C:**,30:87:D9:B1:FC:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:81:**,30:87:D9:B1:89:**,30:87:D9:72:38:**,30:87:D9:71:61:**,30:87:D9:71:5C:**,30:87:D9:B2:06:**,30:87:D9:71:99:**,00:24:6C:26:87:**,30:87:D9:72:06:**,30:87:D9:31:81:**,30:87:D9:F1:F0:**,30:87:D9:F2:06:**,30:87:D9:31:F0:**,30:87:D9:B1:7D:**,30:87:D9:31:95:**,30:87:D9:71:7D:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:71:F0:**,30:87:D9:B1:81:**,30:87:D9:B1:76:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,34:97:F6:6B:EB:**,30:87:D9:F1:7D:**,30:87:D9:B1:97:**,30:87:D9:71:95:**,30:87:D9:B1:F0:**,00:24:6C:2D:1A:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:B1:95:**,30:87:D9:71:7E:**,30:87:D9:71:58:**,30:87:D9:F1:95:**,30:87:D9:71:72:**,78:32:1B:CC:37:**,30:87:D9:71:7F:**,30:87:D9:31:89:**,E4:F0:42:E0:FB:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:97:**,30:87:D9:31:76:**,30:87:D9:71:9A:**,30:87:D9:F1:82:**,B0:6E:BF:3B:A8:**,30:87:D9:71:76:**,30:87:D9:31:7D:**,30:87:D9:31:82:**,30:87:D9:31:FC:**,30:87:D9:32:38:**,30:87:D9:F1:FC:**,30:87:D9:71:82:**
1662467232.165510,-100,-100,-57,-100,-100,-74,-75,-100,-100,-100,-74,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-76,-100,-81,-73,-100,-74,-56,-73,-76,-100,-100,-66,-74,-79,-70,-74,-100,-75,-100,-100,-79,-100,-100,-76,-80,-100,-79,-67,-65,-56,-100,-100,-75,-56,-100,-100,-69,-100,-74,-100
1662467233.165032,-100,-100,-65,-75,-70,-63,-67,-100,-74,-100,-100,-100,-75,-79,-75,-76,-100,-100,-67,-45,-100,-67,-72,-78,-67,-79,-100,-100,-100,-77,-100,-78,-73,-64,-74,-100,-100,-100,-70,-100,-77,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-70,-70,-64,-100,-73,-74,-64,-100,-100,-100,-76,-100,-71
1662467234.165445,-100,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-60,-67,-100,-100,-100,-47,-78,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-67,-100,-100,-47,-100,-100,-100,-47,-60,-100,-100,-100,-100,-100
1662467235.165135,-100,-100,-68,-80,-100,-65,-72,-100,-100,-100,-100,-76,-100,-100,-79,-100,-100,-100,-72,-45,-78,-73,-100,-100,-72,-100,-100,-100,-100,-81,-76,-100,-100,-67,-70,-76,-100,-100,-64,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-64,-66,-68,-100,-100,-79,-66,-100,-100,-100,-81,-100,-100
1662467236.165217,-100,-100,-53,-100,-100,-72,-79,-100,-76,-100,-75,-72,-100,-77,-100,-100,-100,-100,-72,-45,-100,-78,-77,-100,-72,-100,-100,-75,-100,-100,-78,-100,-76,-53,-73,-80,-100,-100,-71,-76,-79,-74,-77,-100,-77,-100,-100,-75,-100,-100,-81,-80,-100,-79,-72,-70,-54,-100,-100,-76,-54,-100,-100,-74,-100,-73,-100
1662467237.165069,-100,-100,-74,-76,-78,-67,-69,-100,-100,-100,-100,-100,-76,-100,-78,-77,-100,-100,-65,-45,-79,-65,-77,-100,-69,-100,-100,-100,-100,-80,-100,-100,-100,-76,-79,-100,-100,-100,-67,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-78,-65,-66,-76,-100,-75,-77,-76,-100,-75,-100,-77,-100,-77
1662467238.165090,-100,-100,-65,-80,-100,-65,-72,-100,-100,-100,-100,-76,-79,-100,-100,-100,-100,-100,-72,-45,-78,-72,-100,-100,-72,-100,-100,-100,-100,-100,-71,-100,-100,-65,-71,-77,-100,-100,-64,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-64,-68,-66,-100,-100,-79,-66,-100,-100,-100,-81,-100,-100
1662467239.165111,-100,-100,-68,-68,-77,-76,-64,-100,-100,-100,-77,-100,-69,-100,-78,-67,-100,-100,-62,-45,-79,-61,-79,-81,-64,-100,-100,-100,-100,-76,-100,-100,-100,-66,-74,-100,-78,-100,-68,-100,-100,-64,-79,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-72,-76,-68,-100,-79,-75,-69,-100,-76,-100,-69,-100,-77
1662467240.165374,-100,-100,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-61,-100,-61,-67,-100,-100,-100,-45,-79,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-66,-76,-100,-45,-100,-100,-100,-45,-60,-100,-100,-100,-100,-100
1662467241.165277,-100,-100,-64,-71,-70,-63,-65,-100,-74,-100,-100,-100,-70,-73,-71,-71,-100,-100,-64,-45,-100,-65,-72,-100,-63,-100,-100,-100,-100,-72,-100,-100,-73,-66,-70,-100,-100,-100,-65,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-68,-64,-65,-67,-100,-73,-74,-68,-100,-75,-100,-70,-100,-71
1662467242.165094,-80,-78,-52,-100,-100,-77,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-40,-100,-70,-100,-100,-76,-100,-60,-100,-60,-77,-100,-100,-100,-52,-72,-100,-100,-59,-69,-100,-100,-77,-100,-79,-100,-79,-100,-100,-100,-100,-100,-78,-100,-80,-77,-77,-53,-100,-100,-100,-52,-59,-100,-100,-100,-100,-100
1662467243.165520,-100,-100,-61,-80,-100,-64,-68,-100,-77,-100,-100,-76,-79,-77,-100,-100,-100,-100,-70,-45,-76,-71,-100,-74,-72,-100,-100,-78,-100,-100,-76,-100,-76,-62,-71,-77,-100,-100,-65,-100,-100,-77,-100,-100,-80,-100,-100,-100,-100,-100,-75,-100,-100,-100,-64,-64,-63,-100,-100,-79,-62,-100,-100,-78,-80,-78,-100
1662467244.165440,-100,-100,-64,-80,-100,-65,-73,-100,-100,-100,-100,-72,-100,-100,-79,-100,-100,-100,-72,-45,-78,-71,-81,-100,-72,-100,-100,-100,-100,-81,-73,-100,-100,-63,-70,-76,-100,-100,-72,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-72,-72,-64,-100,-100,-79,-63,-100,-100,-100,-81,-100,-100
